k,l,iter,m_start,m_end,m_avg,Q_updates,time_RMP_s,time_s
2,150,10400,150,150,150.0,0,332.62,740.41
2,75,2386,77,142,97.53,32,7.8,95.56
2,37,2030,39,142,97.67,53,4.19,74.15
2,2,2527,2,141,103.72,61,7.85,85.28
3,150,3779,150,150,150.0,0,23.2,126.96
3,75,2137,77,143,99.6,42,3.68,61.11
3,37,2037,41,138,99.15,62,3.24,58.69
3,3,2200,3,137,100.13,71,3.75,61.26
4,150,3273,150,150,150.0,0,14.27,86.0
4,75,1230,79,143,101.01,42,1.36,19.57
4,37,1837,42,137,102.18,54,2.45,28.06
4,4,2296,4,137,102.51,77,3.48,31.87
5,150,2272,150,150,150.0,0,7.02,38.15
5,75,1120,79,137,99.84,37,1.11,15.37
5,37,1548,42,135,99.72,54,1.75,19.62
5,5,1188,5,126,98.83,75,1.02,14.64
6,150,1642,150,150,150.0,0,3.61,23.0
6,75,795,79,136,100.3,42,0.61,9.04
6,37,734,43,131,94.35,60,0.44,7.83
