k,l,iter,m_start,m_end,m_avg,Q_updates,time_RMP_s,time_s
2,417,7910,417,417,416.95,0,2931.76,7200.00
2,208,12671,208,299,208.73,82,657.14,6703.35
2,104,2134,105,186,109.37,84,3.68,597.66
2,2,171,2,70,38.77,48,0.04,57.97
3,417,14086,417,417,416.97,0,2506.00,7200.00
3,208,5962,208,317,211.10,105,76.03,1613.87
3,104,2432,104,192,109.21,70,4.26,558.56
3,3,1403,3,134,100.36,99,1.43,306.14
4,417,22756,417,417,417.00,0,2170.16,6339.07
4,208,5132,208,324,210.82,112,49.83,1199.89
4,104,1502,105,197,112.75,78,1.60,241.64
4,4,76,4,41,28.62,24,0.01,13.52
5,417,10798,417,417,417.00,0,232.79,1207.81
5,208,2457,208,317,215.59,96,6.22,216.44
5,104,1070,104,233,131.98,113,0.77,83.92
5,5,174,5,83,49.12,58,0.03,12.92
6,417,10119,417,417,417.00,0,144.55,911.73
6,208,2141,208,334,218.80,110,4.30,157.55
6,104,844,104,212,122.88,95,0.48,54.48
6,6,129,6,73,43.64,55,0.02,9.04
