k,l,iter,m_start,m_end,m_avg,Q_updates,time_RMP_s,time_s
2, 202, 7874, 202, 202, 202.00, 0, 170.65, 1062.22
2, 101, 10239, 102, 185, 107.84, 43, 257.52, 938.31
2, 50, 3434, 52, 185, 108.94, 66, 16.18, 309.65
2, 2, 4420, 2, 168, 99.89, 95, 20.18, 275.26
3, 202, 6974, 202, 202, 202.00, 0, 167.25, 698.38
3, 101, 6376, 104, 194, 122.11, 50, 52.52, 524.03
3, 50, 4435, 53, 189, 129.31, 68, 28.48, 348.91
3, 3, 4228, 3, 172, 108.55, 80, 17.22, 312.87
4, 202, 8477, 202, 202, 202.00, 0, 256.64, 866.20
4, 101, 4510, 102, 188, 113.78, 44, 16.61, 302.78
4, 50, 3490, 54, 193, 124.12, 68, 15.72, 240.16
4, 4, 3675, 4, 182, 120.59, 76, 14.14, 214.56
5, 202, 10390, 202, 202, 202.00, 0, 291.07, 901.91
5, 101, 3389, 106, 187, 119.14, 48, 9.42, 200.48
5, 50, 2488, 56, 175, 115.88, 61, 5.32, 144.01
5, 5, 2836, 5, 191, 123.43, 81, 4.17, 113.77
6, 202, 7069, 202, 202, 202.00, 0, 108.18, 428.87
6, 101, 2863, 106, 176, 121.14, 40, 5.44, 120.27
6, 50, 2019, 58, 174, 119.55, 53, 3.56, 83.56
6, 6, 1824, 6, 157, 109.81, 63, 2.49, 70.91


